Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
American Samoa,2017,All ages,Both,HIV/AIDS resulting in other diseases,Percent of total DALYs,0.001077861,0.000805412,0.001447657
American Samoa,1990 - 2017,All ages,Both,HIV/AIDS resulting in other diseases,DALYs annual % change,0.046002083,,
American Samoa,2017,All ages,Both,Diarrheal diseases,Percent of total DALYs,0.011379995,0.009173806,0.013899038
American Samoa,1990 - 2017,All ages,Both,Diarrheal diseases,DALYs annual % change,0.014001357,,
American Samoa,2017,All ages,Both,Typhoid fever,Percent of total DALYs,0.000980819,0.0004755,0.001860659
American Samoa,1990 - 2017,All ages,Both,Typhoid fever,DALYs annual % change,-0.047143301,,
American Samoa,2017,All ages,Both,Paratyphoid fever,Percent of total DALYs,0.000142614,5.55913E-05,0.000311304
American Samoa,1990 - 2017,All ages,Both,Paratyphoid fever,DALYs annual % change,-0.037827492,,
American Samoa,2017,All ages,Both,Other intestinal infectious diseases,Percent of total DALYs,1.01529E-05,4.59976E-06,1.77051E-05
American Samoa,1990 - 2017,All ages,Both,Other intestinal infectious diseases,DALYs annual % change,-0.02502767,,
American Samoa,2017,All ages,Both,Lower respiratory infections,Percent of total DALYs,0.029151608,0.025076498,0.033487749
American Samoa,1990 - 2017,All ages,Both,Lower respiratory infections,DALYs annual % change,-0.012395144,,
American Samoa,2017,All ages,Both,Upper respiratory infections,Percent of total DALYs,0.0026559,0.001674806,0.004041026
American Samoa,1990 - 2017,All ages,Both,Upper respiratory infections,DALYs annual % change,-0.002854508,,
American Samoa,2017,All ages,Both,Otitis media,Percent of total DALYs,0.00083914,0.000540031,0.001246132
American Samoa,1990 - 2017,All ages,Both,Otitis media,DALYs annual % change,-0.001454384,,
American Samoa,2017,All ages,Both,Pneumococcal meningitis,Percent of total DALYs,0.000963224,0.000748213,0.001199626
American Samoa,1990 - 2017,All ages,Both,Pneumococcal meningitis,DALYs annual % change,0.004333802,,
American Samoa,2017,All ages,Both,H influenzae type B meningitis,Percent of total DALYs,0.000617366,0.000510532,0.00073756
American Samoa,1990 - 2017,All ages,Both,H influenzae type B meningitis,DALYs annual % change,-0.0193708,,
American Samoa,2017,All ages,Both,Meningococcal meningitis,Percent of total DALYs,0.000465577,0.000387465,0.000572495
American Samoa,1990 - 2017,All ages,Both,Meningococcal meningitis,DALYs annual % change,-0.024409284,,
American Samoa,2017,All ages,Both,Other meningitis,Percent of total DALYs,0.002099392,0.001715766,0.002571665
American Samoa,1990 - 2017,All ages,Both,Other meningitis,DALYs annual % change,-0.025785039,,
American Samoa,2017,All ages,Both,Encephalitis,Percent of total DALYs,0.000609812,0.000521088,0.000753147
American Samoa,1990 - 2017,All ages,Both,Encephalitis,DALYs annual % change,-0.015175043,,
American Samoa,2017,All ages,Both,Diphtheria,Percent of total DALYs,7.06757E-06,4.132E-06,1.13363E-05
American Samoa,1990 - 2017,All ages,Both,Diphtheria,DALYs annual % change,-0.025974089,,
American Samoa,2017,All ages,Both,Whooping cough,Percent of total DALYs,0.000840862,0.000100232,0.002720976
American Samoa,1990 - 2017,All ages,Both,Whooping cough,DALYs annual % change,-0.027662021,,
American Samoa,2017,All ages,Both,Tetanus,Percent of total DALYs,2.49498E-05,1.82487E-05,2.5209E-05
