Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
United States,2017,All ages,Both,HIV/AIDS resulting in other diseases,Percent of total DALYs,0.004015265,0.003417301,0.004674818
United States,1990 - 2017,All ages,Both,HIV/AIDS resulting in other diseases,DALYs annual % change,-0.055554481,,
United States,2017,All ages,Both,Diarrheal diseases,Percent of total DALYs,0.004357876,0.003853549,0.004899768
United States,1990 - 2017,All ages,Both,Diarrheal diseases,DALYs annual % change,0.013397939,,
United States,2017,All ages,Both,Typhoid fever,Percent of total DALYs,2.18E-07,1.67E-07,4.82E-07
United States,1990 - 2017,All ages,Both,Typhoid fever,DALYs annual % change,-0.078493498,,
United States,2017,All ages,Both,Paratyphoid fever,Percent of total DALYs,9.28E-07,5.85E-07,2.61664E-06
United States,1990 - 2017,All ages,Both,Paratyphoid fever,DALYs annual % change,-0.076796135,,
United States,2017,All ages,Both,Other intestinal infectious diseases,Percent of total DALYs,5.54602E-06,2.88565E-06,8.79465E-06
United States,1990 - 2017,All ages,Both,Other intestinal infectious diseases,DALYs annual % change,-0.02457743,,
United States,2017,All ages,Both,Lower respiratory infections,Percent of total DALYs,0.01408706,0.012518774,0.015838834
United States,1990 - 2017,All ages,Both,Lower respiratory infections,DALYs annual % change,-0.002208096,,
United States,2017,All ages,Both,Upper respiratory infections,Percent of total DALYs,0.003028569,0.001925284,0.004494531
United States,1990 - 2017,All ages,Both,Upper respiratory infections,DALYs annual % change,-0.005781779,,
United States,2017,All ages,Both,Otitis media,Percent of total DALYs,0.00047874,0.00030565,0.000716463
United States,1990 - 2017,All ages,Both,Otitis media,DALYs annual % change,-0.005723817,,
United States,2017,All ages,Both,Pneumococcal meningitis,Percent of total DALYs,0.000172334,0.000160011,0.000192904
United States,1990 - 2017,All ages,Both,Pneumococcal meningitis,DALYs annual % change,-0.031851587,,
United States,2017,All ages,Both,H influenzae type B meningitis,Percent of total DALYs,0.000170277,0.000147569,0.000205662
United States,1990 - 2017,All ages,Both,H influenzae type B meningitis,DALYs annual % change,-0.042164743,,
United States,2017,All ages,Both,Meningococcal meningitis,Percent of total DALYs,4.88067E-05,4.26165E-05,5.91847E-05
United States,1990 - 2017,All ages,Both,Meningococcal meningitis,DALYs annual % change,-0.06529186,,
United States,2017,All ages,Both,Other meningitis,Percent of total DALYs,0.000239442,0.000209439,0.000287388
United States,1990 - 2017,All ages,Both,Other meningitis,DALYs annual % change,-0.037143101,,
United States,2017,All ages,Both,Encephalitis,Percent of total DALYs,0.000253173,0.00022369,0.00031154
United States,1990 - 2017,All ages,Both,Encephalitis,DALYs annual % change,-0.01035502,,
United States,2017,All ages,Both,Diphtheria,Percent of total DALYs,9.39E-07,8.06E-07,1.09344E-06
United States,1990 - 2017,All ages,Both,Diphtheria,DALYs annual % change,0.01098626,,
United States,2017,All ages,Both,Whooping cough,Percent of total DALYs,3.42659E-05,1.97392E-05,4.73312E-05
United States,1990 - 2017,All ages,Both,Whooping cough,DALYs annual % change,-0.001233699,,
United States,2017,All ages,Both,Tetanus,Percent of total DALYs,1.25022E-06,1.02524E-06,1.53755E-06
United States,1990 - 2017,All ages,Both,Tetanus,DALYs annual % change,-0.058588956,,
United States,2017,All ages,Both,Measles,Percent of total DALYs,6.68E-08,4.09E-08,1.03E-07
United States,1990 - 2017,All ages,Both,Measles,DALYs annual % change,-0.217868731,,
United States,2017,All ages,Both,Varicella and herpes zoster,Percent of total DALYs,0.000174361,0.000128663,0.000237008
United States,1990 - 2017,All ages,Both,Varicella and herpes zoster,DALYs annual % change,-0.004520597,,
United States,2017,All ages,Both,Malaria,Percent of total DALYs,0,0,0
United States,1990 - 2017,All ages,Both,Malaria,DALYs annual % change,0,,
United States,2017,All ages,Both,Chagas disease,Percent of total DALYs,1.86473E-05,1.32848E-05,2.52364E-05
United States,1990 - 2017,All ages,Both,Chagas disease,DALYs annual % change,0.005473512,,
United States,2017,All ages,Both,Visceral leishmaniasis,Percent of total DALYs,0,0,0
United States,1990 - 2017,All ages,Both,Visceral leishmaniasis,DALYs annual % change,0,,
United States,2017,All ages,Both,Cutaneous and mucocutaneous leishmaniasis,Percent of total DALYs,1.66E-09,1.62E-10,4.99E-09
United States,1990 - 2017,All ages,Both,Cutaneous and mucocutaneous leishmaniasis,DALYs annual % change,0.010354479,,
United States,2017,All ages,Both,African trypanosomiasis,Percent of total DALYs,0,0,0
United States,1990 - 2017,All ages,Both,African trypanosomiasis,DALYs annual % change,0,,
United States,2017,All ages,Both,Schistosomiasis,Percent of total DALYs,0,0,0
United States,1990 - 2017,All ages,Both,Schistosomiasis,DALYs annual % change,0,,
United States,2017,All ages,Both,Cysticercosis,Percent of total DALYs,0.000563636,0.000342251,0.000858481
United States,1990 - 2017,All ages,Both,Cysticercosis,DALYs annual % change,0.003507497,,
United States,2017,All ages,Both,Cystic echinococcosis,Percent of total DALYs,8.43E-07,5.18E-07,1.21267E-06
United States,1990 - 2017,All ages,Both,Cystic echinococcosis,DALYs annual % change,-0.028385122,,
United States,2017,All ages,Both,Lymphatic filariasis,Percent of total DALYs,0,0,0
United States,1990 - 2017,All ages,Both,Lymphatic filariasis,DALYs annual % change,0,,
United States,2017,All ages,Both,Onchocerciasis,Percent of total DALYs,0,0,0
United States,1990 - 2017,All ages,Both,Onchocerciasis,DALYs annual % change,0,,
United States,2017,All ages,Both,Trachoma,Percent of total DALYs,0,0,0
United States,1990 - 2017,All ages,Both,Trachoma,DALYs annual % change,0,,
United States,2017,All ages,Both,Dengue,Percent of total DALYs,3.74163E-06,2.4937E-06,5.69704E-06
United States,1990 - 2017,All ages,Both,Dengue,DALYs annual % change,0.029046009,,
United States,2017,All ages,Both,Yellow fever,Percent of total DALYs,0,0,0
United States,1990 - 2017,All ages,Both,Yellow fever,DALYs annual % change,0,,
United States,2017,All ages,Both,Rabies,Percent of total DALYs,2.27524E-06,1.96468E-06,2.62089E-06
United States,1990 - 2017,All ages,Both,Rabies,DALYs annual % change,0.019137648,,
United States,2017,All ages,Both,Ascariasis,Percent of total DALYs,0,0,0
United States,1990 - 2017,All ages,Both,Ascariasis,DALYs annual % change,0,,
United States,2017,All ages,Both,Trichuriasis,Percent of total DALYs,0,0,0
United States,1990 - 2017,All ages,Both,Trichuriasis,DALYs annual % change,0,,
