Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
American Samoa,1990,All ages,Both,Diabetes mellitus,"Deaths per 100,000",30.87765956,34.05300027,28.2462449
American Samoa,1991,All ages,Both,Diabetes mellitus,"Deaths per 100,000",32.02679795,35.16327257,29.30169713
American Samoa,1992,All ages,Both,Diabetes mellitus,"Deaths per 100,000",33.19655786,36.25000639,30.2560381
American Samoa,1993,All ages,Both,Diabetes mellitus,"Deaths per 100,000",34.2199839,37.29818705,31.26352142
American Samoa,1994,All ages,Both,Diabetes mellitus,"Deaths per 100,000",35.4537366,38.48103312,32.49175665
American Samoa,1995,All ages,Both,Diabetes mellitus,"Deaths per 100,000",36.64012948,39.6992392,33.54640404
American Samoa,1996,All ages,Both,Diabetes mellitus,"Deaths per 100,000",37.8594413,40.92143206,34.7386419
American Samoa,1997,All ages,Both,Diabetes mellitus,"Deaths per 100,000",39.33864907,42.52285575,36.30305841
American Samoa,1998,All ages,Both,Diabetes mellitus,"Deaths per 100,000",40.00677627,43.304499,36.94964332
American Samoa,1999,All ages,Both,Diabetes mellitus,"Deaths per 100,000",39.97413626,43.37018022,36.81015204
American Samoa,2000,All ages,Both,Diabetes mellitus,"Deaths per 100,000",43.2290692,46.87566682,39.72611725
American Samoa,2001,All ages,Both,Diabetes mellitus,"Deaths per 100,000",44.93271885,48.64989995,41.46451327
American Samoa,2002,All ages,Both,Diabetes mellitus,"Deaths per 100,000",47.09161416,50.82691353,43.63745271
American Samoa,2003,All ages,Both,Diabetes mellitus,"Deaths per 100,000",49.79071837,53.60048493,46.21054544
American Samoa,2004,All ages,Both,Diabetes mellitus,"Deaths per 100,000",51.96946592,56.03705488,48.23749797
American Samoa,2005,All ages,Both,Diabetes mellitus,"Deaths per 100,000",53.38801583,57.37525694,49.71795131
American Samoa,2006,All ages,Both,Diabetes mellitus,"Deaths per 100,000",53.37762736,57.37516825,49.83647361
American Samoa,2007,All ages,Both,Diabetes mellitus,"Deaths per 100,000",54.48916409,58.61614277,50.94289578
American Samoa,2008,All ages,Both,Diabetes mellitus,"Deaths per 100,000",54.73912609,58.87887007,51.13860925
American Samoa,2009,All ages,Both,Diabetes mellitus,"Deaths per 100,000",54.81923417,59.23808839,51.13443598
American Samoa,2010,All ages,Both,Diabetes mellitus,"Deaths per 100,000",54.2955205,58.81614945,50.40508435
American Samoa,2011,All ages,Both,Diabetes mellitus,"Deaths per 100,000",55.00369407,59.78375016,50.85157688
American Samoa,2012,All ages,Both,Diabetes mellitus,"Deaths per 100,000",54.89506996,60.11838567,50.64908337
American Samoa,2013,All ages,Both,Diabetes mellitus,"Deaths per 100,000",53.72419207,58.94486943,49.17401783
American Samoa,2014,All ages,Both,Diabetes mellitus,"Deaths per 100,000",53.88469403,59.05751591,49.07277929
American Samoa,2015,All ages,Both,Diabetes mellitus,"Deaths per 100,000",55.83275224,61.47040115,50.5924418
American Samoa,2016,All ages,Both,Diabetes mellitus,"Deaths per 100,000",58.12131385,64.3535923,52.22124647
American Samoa,2017,All ages,Both,Diabetes mellitus,"Deaths per 100,000",59.76076987,66.43530481,53.21872438
United States,1990,All ages,Both,Diabetes mellitus,"Deaths per 100,000",17.79930917,18.12230643,17.49404971
United States,1991,All ages,Both,Diabetes mellitus,"Deaths per 100,000",18.34301502,18.64986499,18.04392665
United States,1992,All ages,Both,Diabetes mellitus,"Deaths per 100,000",18.75372708,19.07262943,18.48051293
United States,1993,All ages,Both,Diabetes mellitus,"Deaths per 100,000",19.86807992,20.20259362,19.54605585
United States,1994,All ages,Both,Diabetes mellitus,"Deaths per 100,000",20.54736268,20.88320512,20.21166592
United States,1995,All ages,Both,Diabetes mellitus,"Deaths per 100,000",21.34368336,21.7500059,20.94848758
United States,1996,All ages,Both,Diabetes mellitus,"Deaths per 100,000",21.89604016,22.28969884,21.54574552
United States,1997,All ages,Both,Diabetes mellitus,"Deaths per 100,000",22.35592551,22.71890607,22.00953309
United States,1998,All ages,Both,Diabetes mellitus,"Deaths per 100,000",22.87320684,23.26316071,22.52810934
United States,1999,All ages,Both,Diabetes mellitus,"Deaths per 100,000",23.38150719,23.77898536,23.02493069
United States,2000,All ages,Both,Diabetes mellitus,"Deaths per 100,000",23.58377688,23.97915504,23.19857172
United States,2001,All ages,Both,Diabetes mellitus,"Deaths per 100,000",23.93528638,24.31100523,23.56299092
United States,2002,All ages,Both,Diabetes mellitus,"Deaths per 100,000",24.11323026,24.4733655,23.78193848
United States,2003,All ages,Both,Diabetes mellitus,"Deaths per 100,000",24.06588926,24.40757184,23.73236342
United States,2004,All ages,Both,Diabetes mellitus,"Deaths per 100,000",23.42807393,23.76013925,23.10788556
United States,2005,All ages,Both,Diabetes mellitus,"Deaths per 100,000",23.48639977,23.81842202,23.14670342
United States,2006,All ages,Both,Diabetes mellitus,"Deaths per 100,000",22.91794349,23.24218161,22.58688466
United States,2007,All ages,Both,Diabetes mellitus,"Deaths per 100,000",22.27052213,22.59870889,21.94065736
United States,2008,All ages,Both,Diabetes mellitus,"Deaths per 100,000",21.9429956,22.26749751,21.6144016
United States,2009,All ages,Both,Diabetes mellitus,"Deaths per 100,000",21.47644104,21.84351736,21.10660195
United States,2010,All ages,Both,Diabetes mellitus,"Deaths per 100,000",20.86562307,21.34786165,20.36610689
United States,2011,All ages,Both,Diabetes mellitus,"Deaths per 100,000",20.35652941,20.73520572,19.97105229
United States,2012,All ages,Both,Diabetes mellitus,"Deaths per 100,000",19.90719814,20.24042806,19.57560324
United States,2013,All ages,Both,Diabetes mellitus,"Deaths per 100,000",19.58477922,19.88416262,19.27931549
United States,2014,All ages,Both,Diabetes mellitus,"Deaths per 100,000",19.54563278,19.82896939,19.26174414
United States,2015,All ages,Both,Diabetes mellitus,"Deaths per 100,000",19.79769797,20.09221863,19.49471989
United States,2016,All ages,Both,Diabetes mellitus,"Deaths per 100,000",20.55856395,20.93659071,20.17187795
United States,2017,All ages,Both,Diabetes mellitus,"Deaths per 100,000",21.10535125,21.6446747,20.56859426
Global,1990,All ages,Both,Diabetes mellitus,"Deaths per 100,000",11.2597032,11.557349,10.9638229
Global,1991,All ages,Both,Diabetes mellitus,"Deaths per 100,000",11.44340544,11.72370259,11.15577672
