Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Mozambique,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",202.1035626,184.3242883,221.5755385
Mauritius,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",818.8137089,756.4728024,882.6578925
Malawi,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",228.7781213,209.9261471,250.1726919
Rwanda,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",181.6731344,166.192862,198.3823385
Somalia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",205.9747594,188.2209369,225.6672979
Zambia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",199.8970813,183.0803411,218.5395962
Kenya,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",225.8885591,205.6080157,249.9456912
Madagascar,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",191.2510778,174.1308702,210.5771383
South Sudan,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",207.8090573,189.7278234,227.9343961
Seychelles,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",460.0347746,415.4843237,508.1369073
Tanzania,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",169.8271691,155.0828088,185.9891659
Uganda,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",172.4727076,157.4981359,190.061445
Zimbabwe,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",323.6674393,296.6202766,357.4515095
Ethiopia,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",150.4473459,137.2339552,165.7025391
Eritrea,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",220.3963568,201.4201659,243.4103136
Djibouti,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",259.5499228,236.211825,286.4199371
Comoros,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",279.0157142,256.0846926,304.9405595
Burundi,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",195.9427779,179.7091496,214.3914322
Gabon,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",417.1326284,380.4638572,459.4558137
Equatorial Guinea,2017,All ages,Both,Diabetes mellitus,"New cases per 100,000",360.8423705,328.934613,400.1142185
